Locus_tags,TSS_ID,Gene Symbols,Max_Norm_Reads,DK_vs_CT_log2FoldChange,DK_vs_CT_padj,HL_vs_CT_log2FoldChange,HL_vs_CT_padj,Product
M744_RS11880,gTSS-2410970,"pixG, pisG, taxP1, rer1, cheY, rre36",13969.88,4.58,7.78E-52,-4.04,3.77E-29,response regulator
M744_RS11885,gTSS-24142873753.35 ,-2.19,3.00E-16,1.06,6.01E-05,0.59,6.46E-02,
M744_RS11895,gTSS-2417314,purM,3052.59,1,6.59E-06,1.9,7.97E-18,phosphoribosylformylglycinamidine cyclo-ligase
M744_RS11905,gTSS+24180862319.36 ,-3.57,1.62E-40,0.04,9.02E-01,0.03,9.46E-01,
M744_RS11910,gTSS+2418590,uvrA,1694.42,1.87,9.32E-12,0.68,1.92E-02,excinuclease ABC subunit A
M744_RS11920,gTSS+2423298623.59 ,2.13,1.07E-14,-0.3,3.50E-01,-0.14,7.55E-01,
M744_RS11930,gTSS+242554514253.75 ,-4.82,6.53E-104,1.24,8.83E-10,-1.39,1.19E-10,
M744_RS11935,gTSS+2425714,"gor, gshR",1943.36,3.7,8.62E-35,-1.59,8.00E-06,glutathione-disulfide reductase
M744_RS11970,gTSS-2434877,ruvB,1143.97,-0.74,7.85E-04,0.44,4.40E-02,Holliday junction branch migration DNA helicase RuvB
M744_RS11975,gTSS-243602547650.71 ,9.11,3.96E-221,-0.06,8.79E-01,1.37,6.60E-05,
M744_RS12005,gTSS-24411778004.82 ,-0.26,2.20E-01,1.06,2.64E-07,-0.39,1.30E-01,
M744_RS12010,gTSS+2441253696.77 ,0.36,1.69E-01,0.38,1.58E-01,-0.48,1.40E-01,
M744_RS12015,gTSS+2441694,cobW,2363.81,0.23,2.99E-01,0.87,5.03E-05,cobalamin biosynthesis protein CobW
M744_RS12020,gTSS-24438481221.84 ,-1.48,4.52E-08,1.38,2.36E-08,-0.7,1.88E-02,
M744_RS12025,gTSS+2443724743.68 ,-1.85,7.57E-08,1.53,1.98E-07,0.07,8.91E-01,
M744_RS12030,gTSS-2446569927.73 ,-1.84,1.15E-10,0.11,7.36E-01,0.48,1.57E-01,
M744_RS12045,gTSS-2450044,ddpA,1388.54,-2.77,1.06E-22,0.98,8.30E-05,peptide ABC transporter substrate-binding protein
M744_RS12050,gTSS-24505836904.95 ,0.37,1.38E-01,-0.66,9.63E-03,-1.01,3.32E-04,
M744_RS12060,gTSS-24515895646.00 ,-1.14,3.76E-07,2.2,1.69E-24,-0.06,8.62E-01,
M744_RS12080,gTSS-24554084822.46 ,-2.15,8.36E-24,1.35,5.89E-11,-0.5,4.51E-02,
M744_RS12085,gTSS-2456874,hisS,1037.16,-2.73,7.20E-16,1.45,5.11E-08,ATP phosphoribosyltransferase regulatory subunit
M744_RS12105,gTSS-24614651202.87 ,-1.9,5.12E-14,0.49,4.65E-02,0.07,8.56E-01,
M744_RS12110,gTSS+2461516,sps,1346.17,-1.82,4.17E-13,0.01,9.61E-01,haloacid dehalogenase
M744_RS12135,gTSS+24671211381.72 ,0.79,3.73E-04,0.09,7.21E-01,-0.01,9.82E-01,
M744_RS12150,gTSS+2469451,cpcT,1358.59,-2.91,1.49E-24,0.35,2.01E-01,chorismate-binding protein
M744_RS12155,gTSS+24701121708.97 ,-1.21,3.53E-06,0.76,3.69E-03,-0.64,3.84E-02,
M744_RS12165,gTSS-2472517558.14 ,0.97,2.81E-03,-0.81,1.88E-02,0.4,3.64E-01,
M744_RS12175,gTSS+2473451633.88 ,-0.96,4.03E-04,0.75,3.31E-03,0.2,5.86E-01,
M744_RS12180,gTSS+247419614812.26 ,-0.17,3.70E-01,-0.17,4.14E-01,-0.19,4.56E-01,
M744_RS12185,gTSS+24752071761.38 ,-2.8,1.84E-25,-0.77,2.68E-03,0.52,8.88E-02,
M744_RS12200,gTSS+2478577,rbp3,6843.88,-2.36,7.28E-21,2.77,2.60E-34,RNA-binding region RNP-1
M744_RS12215,gTSS-2481533,phoA,1536.24,-3.7,1.34E-39,0.22,4.02E-01,purple acid phosphatase
M744_RS12220,gTSS-24824611066.11 ,-4.55,6.17E-17,1.8,1.48E-08,-0.29,5.25E-01,
M744_RS12230,gTSS+2485256,hisG,2707.2,-2.84,1.28E-23,1.82,4.71E-14,ATP phosphoribosyltransferase
M744_RS12235,gTSS+24859406074.10 ,1.77,3.30E-17,0.05,8.47E-01,-0.26,3.80E-01,
M744_RS12240,gTSS+2487974,"ppsA, pps",19993.08,7.16,1.30E-142,-3.41,1.02E-15,phosphoenolpyruvate synthase
M744_RS12245,gTSS+24905401499.89 ,3.33,1.40E-33,-1.28,8.06E-05,-0.09,8.50E-01,
M744_RS12255,gTSS-2494963716.73 ,-0.72,5.14E-03,1.01,2.68E-05,0.51,8.02E-02,
M744_RS12260,gTSS+2494935,folD,552.69,1.42,2.04E-05,0.35,3.43E-01,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase"
M744_RS12275,gTSS-249830415958.60 ,2.59,2.88E-36,-0.18,4.35E-01,0.06,8.74E-01,
M744_RS12280,gTSS+2498350,ycf52,3049.72,-1.27,9.56E-10,1.01,6.56E-07,N-acetyltransferase
M744_RS12315,gTSS+25019995417.78 ,2.71,1.67E-25,-0.44,1.21E-01,0.08,8.60E-01,
M744_RS12320,gTSS+2502441952.66 ,2.14,1.55E-19,0.29,2.71E-01,0.34,2.97E-01,
M744_RS12335,gTSS-25062243052.28 ,4.03,2.04E-51,0.27,3.90E-01,-0.05,9.15E-01,
M744_RS12340,gTSS-25076441436.46 ,-0.15,6.71E-01,2.71,8.79E-19,0.08,8.81E-01,
M744_RS12345,gTSS-25085431436.26 ,0.36,9.47E-02,-0.56,1.15E-02,0.59,1.90E-02,
M744_RS12395,gTSS-2517956616.32 ,2.34,1.73E-14,-0.05,8.88E-01,-0.29,5.35E-01,
M744_RS12420,gTSS-2523121596.94 ,0.27,3.36E-01,1.01,1.81E-04,-0.5,1.40E-01,
M744_RS12465,gTSS-2527960843.18 ,-0.52,2.69E-02,-1.05,8.24E-06,0.13,6.93E-01,
M744_RS12470,gTSS-25295791281.72 ,0.24,3.06E-01,0.05,8.67E-01,-0.19,5.73E-01,
M744_RS12480,gTSS-25312931207.18 ,2.83,1.07E-20,-1.08,1.59E-03,-0.52,2.14E-01,
M744_RS12490,gTSS-25341533070.68 ,3.26,4.79E-39,-0.24,4.19E-01,0,1.00E+00,
M744_RS12495,gTSS-25355035901.44 ,0.91,1.55E-05,-0.19,4.09E-01,0.13,6.83E-01,
M744_RS12500,gTSS-25356154950.23 ,0.49,3.79E-02,1.61,3.80E-12,0.72,8.54E-03,
M744_RS12525,gTSS+25407313001.60 ,1.95,1.94E-16,-0.62,1.48E-02,-0.21,5.59E-01,
M744_RS12580,gTSS-25473433266.21 ,-2.74,4.25E-30,0.77,9.06E-04,-0.14,6.92E-01,
M744_RS12590,gTSS-2548934,murZ,6294.06,-2.04,2.52E-20,-0.48,3.75E-02,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
M744_RS12600,gTSS+2549104,amiA,2787.07,1.32,5.37E-06,-1.27,2.50E-05,N-acetylmuramoyl-L-alanine amidase
M744_RS12605,gTSS+255105912866.33 ,0.84,3.27E-04,0.63,9.83E-03,-1.38,8.88E-08,
M744_RS12610,gTSS+255237718130.44 ,0.24,3.38E-01,-0.75,2.24E-03,-0.73,8.65E-03,
M744_RS12615,gTSS-2557174,carB,506.1,-2.38,1.02E-05,2.76,1.17E-16,carbamoyl phosphate synthase large subunit
M744_RS12620,gTSS+25572453292.17 ,-1,4.90E-06,0.49,2.93E-02,-0.45,1.01E-01,
M744_RS12645,gTSS-2563086519.96 ,0.67,1.64E-02,0.08,8.17E-01,-0.15,7.25E-01,
M744_RS12655,gTSS-2564705,smf,841.31,-0.32,2.23E-01,-2.41,6.43E-19,DNA protecting protein DprA
M744_RS12665,gTSS-2566194743.58 ,1.22,2.25E-07,-0.25,3.35E-01,0.31,3.25E-01,
M744_RS12670,gTSS+25660129574.06 ,2.76,1.08E-41,-1.6,1.09E-13,0.56,2.73E-02,
M744_RS12680,gTSS-2567704942.33 ,-3.79,2.80E-11,2.24,5.62E-09,-2.82,6.17E-10,
M744_RS12685,gTSS+2567852,psbB,77600.07,-2.27,6.02E-20,-0.51,5.70E-02,photosystem II CP47 reaction center protein
M744_RS12690,gTSS+2569545,psbTc,841.49,-2,8.20E-10,-0.05,8.97E-01,photosystem II reaction center protein T
M744_RS12695,gTSS+25698322701.62 ,-0.03,9.07E-01,-0.65,2.00E-03,-0.08,8.12E-01,
M744_RS12700,gTSS+2570579,rps1,62669.98,-2.29,3.57E-25,3.74,3.38E-67,30S ribosomal protein S1
M744_RS12710,gTSS+25725432378.01 ,2.4,3.08E-26,-1.6,1.19E-10,0.33,2.76E-01,
M744_RS12720,gTSS+25734836404.65 ,-0.94,1.94E-04,1.1,1.57E-05,0.35,3.00E-01,
M744_RS12745,gTSS-2578093,ycf45,22156.48,1.84,3.88E-23,-2.7,1.77E-45,hypothetical protein
M744_RS12750,gTSS-2579923,groEL-2,6702.13,-1.81,1.59E-11,3.03,3.59E-34,molecular chaperone GroEL
M744_RS12755,gTSS-2580757,fabG,1888.65,-4.65,6.56E-28,1.84,3.95E-12,beta-ketoacyl-ACP reductase
M744_RS12765,gTSS-25828321750.90 ,-2.34,5.08E-19,1.04,1.45E-05,0.03,9.45E-01,
M744_RS12770,gTSS+2582834,ispD,1084.08,-2.36,1.45E-18,0.82,6.47E-04,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
M744_RS12780,gTSS-2585082,"rbp1, 12rnp1",277234.16,4.24,1.87E-91,3.26,1.66E-53,RNA-binding protein
M744_RS12790,gTSS-2586044,rnd,685.4,0.9,1.86E-03,0.28,3.81E-01,ribonuclease D
M744_RS12800,gTSS+2586101,pex,33548.44,3.61,8.52E-65,-1.51,9.19E-12,PadR family transcriptional regulator
M744_RS12810,gTSS+25879101169.93 ,-2.57,5.23E-18,0.5,7.84E-02,-1.16,1.97E-04,
M744_RS12815,gTSS-2589548,hemF,4087.27,-0.01,9.76E-01,-0.51,3.72E-02,coproporphyrinogen III oxidase
M744_RS12835,gTSS-2593755,pyrB,1119.92,4.4,6.94E-59,-1.89,5.61E-06,aspartate carbamoyltransferase
M744_RS12840,gTSS-2594414,mpg,2054.36,-0.48,5.43E-02,0.96,9.11E-05,3-methyladenine DNA glycosylase
M744_RS12850,gTSS-259487327745.23 ,3.97,4.65E-62,-0.14,6.12E-01,-0.94,8.63E-04,
M744_RS12865,gTSS-2598830548.75 ,-1.12,2.64E-03,2.11,1.22E-11,0.29,5.29E-01,
M744_RS12875,gTSS-26008405972.29 ,3.05,9.73E-41,-0.96,9.28E-05,0.28,3.91E-01,
M744_RS12885,gTSS-2603355,tyrA,1139.98,-0.35,2.29E-01,1.08,1.06E-04,arogenate dehydrogenase
M744_RS12890,gTSS+26033974914.29 ,-1.64,3.14E-17,0.15,4.82E-01,-0.48,4.01E-02,
M744_RS12895,gTSS+26049586399.53 ,1.59,8.35E-13,1.17,3.48E-07,-0.73,6.12E-03,
M744_RS12900,gTSS+2605244249254.40 ,4.47,2.52E-82,-2.25,4.71E-21,0.59,4.20E-02,
M744_RS12910,gTSS-260857628032.18 ,-1.22,1.22E-04,-1.31,5.96E-05,-1.54,1.62E-05,
M744_RS12915,gTSS+2608719,ycf4,905.8,0.5,1.01E-01,0.08,8.16E-01,photosystem I assembly protein Ycf4
M744_RS12930,gTSS-2614076,priA,3199.76,5.89,1.89E-82,-1.25,2.21E-03,primosomal protein N'
M744_RS12940,gTSS+2614635,"rpoD1, sigA",25003.71,0.4,4.68E-02,0.8,9.31E-05,RNA polymerase sigma factor RpoD
M744_RS12950,gTSS-26175877294.01 ,2.56,3.72E-32,-0.38,1.08E-01,-0.19,5.59E-01,
M744_RS12955,gTSS-26181129746.99 ,1.64,5.28E-13,0.3,2.23E-01,-0.09,8.11E-01,
M744_RS12960,gTSS-2619351,hemL,5923.51,0.18,4.15E-01,0.9,1.92E-05,"glutamate-1-semialdehyde 2,1-aminomutase"
M744_RS12965,gTSS-2621718,cikA,936.29,3.5,1.32E-34,-0.01,9.75E-01,hybrid sensor histidine kinase/response regulator
M744_RS12975,gTSS+2622062,bcp,990.84,1.11,3.84E-05,0.29,3.41E-01,peroxiredoxin
M744_RS12985,gTSS-26265525033.56 ,0.48,2.00E-02,1.53,6.09E-14,-0.38,1.49E-01,
M744_RS12990,gTSS-2628185,eno,625.89,-2.01,5.02E-07,2.23,1.42E-14,enolase
M744_RS12995,gTSS+2628264,gloA,2351.73,-0.84,1.54E-04,-0.08,7.74E-01,lactoylglutathione lyase
M744_RS13000,gTSS+2628755,clpB,2418.79,-1.56,1.34E-08,2.4,1.71E-22,chaperone protein ClpB
M744_RS13005,gTSS+2631506,secE,89514.43,-0.4,7.77E-02,3.42,3.18E-54,preprotein translocase subunit SecE
M744_RS13010,gTSS+2631695,nusG,890.13,1.66,4.37E-01,6.17,3.09E-03,transcription termination/antitermination protein NusG
M744_RS13015,gTSS+2632100,rpl11,518.4,-1.14,1.47E-01,4.78,4.41E-25,50S ribosomal protein L11
M744_RS13025,gTSS+2633453,rpl1,305171.87,-1.86,4.93E-23,3.67,2.38E-85,50S ribosomal protein L10
M744_RS13035,gTSS-263634820189.83 ,-2,7.42E-17,-1.63,2.10E-11,1.01,2.37E-04,
M744_RS13040,gTSS+26363951054.51 ,-0.46,4.37E-02,0.17,4.94E-01,-0.38,1.83E-01,
M744_RS13045,gTSS-263750812880.18 ,-1.36,5.81E-08,4.15,1.75E-72,-0.95,5.41E-04,
M744_RS13065,gTSS-2642577,ycf45,593,-0.54,2.92E-02,0.24,3.57E-01,hypothetical protein
M744_RS13070,gTSS-2643395,ldpA,74267.59,2.19,2.53E-22,-0.07,8.05E-01,4Fe-4S ferredoxin
M744_RS13075,gTSS-2644806,trxB,26394.54,1.03,2.46E-04,-0.94,1.11E-03,thioredoxin-disulfide reductase
M744_RS13080,gTSS-2646903563.00 ,-1.5,8.52E-07,0.83,2.67E-03,-0.47,1.85E-01,
M744_RS13085,gTSS-26480823255.40 ,1.99,1.37E-14,0.79,3.49E-03,-0.3,4.13E-01,
M744_RS13090,gTSS-26489132368.81 ,1.78,5.48E-14,-1.2,1.55E-06,-0.36,2.61E-01,
M744_RS13100,gTSS-2650994,"ahcY, sahH",7869.6,-2.83,2.07E-34,1.54,4.56E-12,adenosylhomocysteinase
M744_RS13105,gTSS+26510523754.27 ,2.21,4.66E-23,-0.67,4.99E-03,-0.18,5.85E-01,
M744_RS13115,gTSS-26530121108.04 ,-4.03,4.79E-21,1.46,4.12E-07,-0.39,3.07E-01,
M744_RS13120,gTSS+26530611116.02 ,-0.83,4.11E-03,1.46,8.33E-08,0.03,9.47E-01,
M744_RS13130,gTSS+2655355,gltA,861.05,-2.92,1.32E-16,1.16,6.66E-05,citrate synthase
M744_RS13135,gTSS-2658959,mutS,2312.9,0.15,5.20E-01,1.59,4.80E-14,endonuclease MutS2
M744_RS13145,gTSS-26624202372.80 ,0.06,8.41E-01,3.25,8.43E-35,-0.08,8.55E-01,
M744_RS13150,gTSS-26630204782.53 ,0.13,5.43E-01,1.31,1.01E-10,0.11,7.12E-01,
M744_RS13155,gTSS-26633941199.96 ,0.03,9.14E-01,-2.12,8.14E-17,0.36,2.68E-01,
M744_RS13175,gTSS+2665923,"glgC, agp",3617.59,-3.15,4.23E-21,2.13,9.46E-13,glucose-1-phosphate adenylyltransferase
M744_RS13185,gTSS+266850931923.11 ,4.1,2.93E-83,-0.15,5.35E-01,-0.09,8.02E-01,
M744_RS13190,gTSS+26703313805.17 ,3.87,2.08E-64,-1.93,1.82E-12,-0.09,8.11E-01,
M744_RS13200,gTSS-267306211477.67 ,-4.11,1.19E-54,1.7,3.81E-12,-0.51,9.45E-02,
M744_RS13205,gTSS+2673474,menB,1006.46,-3.46,1.22E-19,1.2,7.67E-05,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
M744_RS13210,gTSS-2675272606.92 ,-1.55,2.30E-03,3.36,2.06E-20,-1.97,7.38E-05,
M744_RS13215,gTSS+26753367852.99 ,-0.41,6.22E-02,-1.31,2.40E-09,0.28,3.36E-01,
M744_RS13230,gTSS+2678339,pfkA,5515.96,6.53,6.38E-166,-0.34,3.00E-01,6-phosphofructokinase
M744_RS13245,gTSS-26805761902.19 ,2.92,2.96E-22,-0.35,3.08E-01,-0.8,3.66E-02,
M744_RS13255,gTSS-2684926,valS,1262.76,-2.14,3.87E-09,2.92,2.05E-30,valine--tRNA ligase
M744_RS13295,gTSS+26068435.06 ,-0.44,3.69E-02,0.47,2.88E-02,-0.47,6.53E-02,
M744_RS13315,gTSS-55591243.42 ,4.59,3.56E-61,0.34,3.24E-01,-0.12,8.17E-01,
M744_RS13415,gTSS+242911323.66 ,-3.6,6.86E-27,1.1,3.86E-05,-0.3,4.08E-01,
M744_RS13425,gTSS-255418160.41 ,-0.52,2.66E-02,1.21,1.92E-07,0.22,5.00E-01,
M744_RS13440,gTSS+2698711421.35 ,3.57,1.37E-55,-1.1,6.24E-06,-0.35,2.51E-01,
M744_RS13460,gTSS-29288596.94 ,-5.14,2.35E-08,2.22,7.43E-11,-0.49,2.90E-01,
M744_RS13480,gTSS+311552285.29 ,2.45,1.67E-17,-1.28,3.49E-05,1.36,3.44E-05,
M744_RS13515,gTSS-38991544.02 ,-5.73,2.80E-22,-1,8.95E-04,-0.11,8.13E-01,
M744_RS13540,gTSS+42269930.84 ,5.48,2.86E-56,-3.16,1.94E-04,1.75,2.64E-05,
M744_RS13545,gTSS+443821499.89 ,1.88,2.03E-15,-1.56,1.54E-09,0.92,7.61E-04,
M744_RS13590,gTSS-2865871111.55 ,-0.9,7.42E-05,-0.36,1.26E-01,0.48,7.47E-02,
M744_RS13605,gTSS+26775641218.84 ,-2.33,2.09E-15,0.31,3.10E-01,0.06,8.91E-01,
M744_RS13625,gTSS-123169,psbK,14760.22,-2.41,9.30E-29,-0.47,3.96E-02,photosystem II reaction center protein K
M744_RS13635,gTSS-39408116491.51 ,1.32,7.45E-10,-1.25,1.21E-08,-0.14,6.71E-01,
M744_RS13640,gTSS-4504191234.45 ,2.87,1.12E-27,-1.36,1.02E-05,0.04,9.38E-01,
M744_RS13655,gTSS+5347761730.78 ,3.62,4.40E-36,-0.13,7.24E-01,0.68,6.50E-02,
M744_RS13660,gTSS+69590012968.14 ,4.8,2.62E-111,0.03,9.03E-01,-0.08,8.27E-01,
M744_RS13670,gTSS-7039792372.55 ,3.06,2.68E-32,-0.29,3.32E-01,-0.18,6.53E-01,
M744_RS13680,gTSS+816482,ffs,9384.66,1.1,7.97E-04,-0.13,7.34E-01,signal recognition particle sRNA small type
M744_RS13690,gTSS+93756631044.69 ,0.33,1.51E-01,1.48,5.65E-11,-0.17,5.94E-01,
M744_RS13700,gTSS-9579531001.40 ,-0.45,7.54E-02,0.33,2.12E-01,-0.57,5.73E-02,
M744_RS13705,gTSS+975566,rpl36,129644.75,-2.29,4.63E-22,2.84,7.64E-33,50S ribosomal protein L36
M744_RS13720,gTSS+11213932143.73 ,3.98,5.55E-56,-1.13,1.72E-04,0.26,4.98E-01,
M744_RS13725,gTSS-1491583,psbI,145065.16,-1.56,8.78E-12,0.58,1.66E-02,photosystem II reaction center protein I
M744_RS13770,gTSS+19509698310.30 ,0.53,5.88E-03,0.51,1.06E-02,-1.94,5.09E-23,
M744_RS13775,gTSS+19872192832.98 ,-0.05,8.28E-01,1.6,2.10E-12,-0.14,6.77E-01,
M744_RS13790,gTSS-2123693,rpl33,105795.58,-3.92,6.52E-53,3.72,2.20E-50,50S ribosomal protein L33
M744_RS13795,gTSS+22263632996.14 ,4.37,4.73E-43,-0.75,3.94E-02,-0.82,5.21E-02,
M744_RS13810,gTSS-24161821480.61 ,-2.68,7.60E-28,0.53,2.01E-02,0.05,8.96E-01,
M744_RS13815,gTSS-24850403876.08 ,0.77,6.21E-04,-0.71,2.21E-03,0.52,5.68E-02,
M744_RS13820,gTSS+250083230441.40 ,2.29,1.27E-29,-0.01,9.76E-01,0.06,8.71E-01,
M744_RS13825,gTSS-2506900513.09 ,-3.07,6.06E-05,3.12,1.59E-15,-0.18,7.89E-01,
M744_RS13830,gTSS+26806577966.95 ,-1.47,5.62E-13,-0.05,8.52E-01,-0.18,5.56E-01,
M744_RS13850,gTSS+23414343047.05 ,0.59,2.23E-02,-0.69,1.03E-02,-0.72,1.95E-02,
M744_RS13860,gTSS-40473776.62 ,-4.31,8.82E-05,4.14,1.09E-39,-0.79,8.41E-02,
nirA,gTSS+199963511966.24 ,-6.64,5.43E-88,0.99,2.30E-04,-1.24,2.98E-05,
petN,gTSS+10776128040.49 ,-1.68,1.87E-19,0.78,5.03E-05,-0.34,1.64E-01,
pgi,gTSS-1166692896.41 ,-1.4,3.70E-08,0.68,5.31E-03,-0.2,5.66E-01,
ppnK,gTSS-132901817093.29 ,3.43,4.50E-73,0.49,1.50E-02,0.19,4.84E-01,
psbZ,gTSS+9538361191.46 ,-4.34,5.81E-36,-0.34,2.72E-01,-0.41,2.66E-01,
rbcL,gTSS-178516389999.57 ,-3.04,1.31E-32,2.6,4.57E-24,-0.31,3.91E-01,
rnpB,gTSS-155152777396.72 ,1.54,7.68E-13,-0.27,2.46E-01,-0.26,3.85E-01,
sdhA,gTSS+26227341130.37 ,-2.28,1.57E-13,1.3,1.70E-06,-0.61,6.71E-02,
