Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS04350,CP006471,843373,844074,-,gene874,protein_coding,M744_04500,octanoyltransferase,WP_011244060.1
M744_RS04355,CP006471,844280,844903,+,gene875,protein_coding,M744_04505,ribosomal subunit interface protein,WP_011378421.1
M744_RS04360,CP006471,844960,846168,-,gene876,protein_coding,M744_04510,TIGR00299 family protein,WP_011378420.1
M744_RS04365,CP006471,846184,846885,+,gene877,protein_coding,M744_04515,threonylcarbamoyl-AMP synthase,WP_011244063.1
M744_RS04370,CP006471,846898,848091,-,gene878,protein_coding,M744_04520,type IV pili twitching motility protein PilT,WP_011244064.1
M744_RS04375,CP006471,848166,849245,-,gene879,protein_coding,M744_04525,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,WP_011378419.1
M744_RS04380,CP006471,849384,850340,+,gene880,protein_coding,M744_04530,hypothetical protein,WP_049749354.1
M744_RS04385,CP006471,850337,851137,-,gene881,protein_coding,M744_04535,TIGR01548 family HAD-type hydrolase,WP_011244067.1
M744_RS04390,CP006471,851552,851890,+,gene882,protein_coding,M744_04540,30S ribosomal protein Ycf65,WP_011244068.1
M744_RS04395,CP006471,852029,852979,-,gene883,protein_coding,M744_04550,hypothetical protein,WP_011378416.1
M744_RS04400,CP006471,853339,853455,+,gene884,protein_coding,M744_04555,photosystem I reaction center subunit VIII,WP_011244070.1
M744_RS04405,CP006471,853501,854001,+,gene885,protein_coding,M744_04560,photosystem I reaction center subunit XI,WP_011378415.1
M744_RS04410,CP006471,854345,855226,-,gene886,protein_coding,M744_04565,hypothetical protein,WP_011378414.1
M744_RS04415,CP006471,855236,856597,-,gene887,protein_coding,M744_04570,ribosome biogenesis GTPase Der,WP_011244073.1
M744_RS04420,CP006471,856631,857665,-,gene888,protein_coding,M744_04575,ADP-heptose synthase,WP_011378413.1
M744_RS04425,CP006471,857712,858629,-,gene889,protein_coding,M744_04580,hypothetical protein,WP_011378412.1
M744_RS04430,CP006471,858928,859881,+,gene890,protein_coding,M744_04590,N-acetylmuramoyl-L-alanine amidase,WP_011378411.1
M744_RS04435,CP006471,860523,861557,+,gene891,protein_coding,M744_04600,fructose 1%2C6-bisphosphatase,WP_011378409.1
M744_RS04440,CP006471,861604,863139,+,gene892,protein_coding,M744_04605,glucose-6-phosphate 1-dehydrogenase,WP_011244078.1
M744_RS04445,CP006471,863179,864516,+,gene893,protein_coding,M744_04610,oxidoreductase,WP_011244079.1
M744_RS04450,CP006471,864627,865109,-,gene894,protein_coding,M744_04615,cytochrome b6-f complex subunit 4,WP_011244080.1
M744_RS04455,CP006471,865206,865853,-,gene895,protein_coding,M744_04625,cytochrome b6,WP_011244081.1
M744_RS04460,CP006471,866064,867287,+,gene896,protein_coding,M744_04630,peptidase S41,WP_011378408.1
M744_RS04465,CP006471,867280,868554,+,gene897,protein_coding,M744_04635,HD domain-containing protein,WP_011378407.1
M744_RS04470,CP006471,868551,869642,-,gene898,protein_coding,M744_04640,hypothetical protein,WP_011244084.1
M744_RS04475,CP006471,869710,870183,+,gene899,protein_coding,M744_04645,hypothetical protein,WP_011244085.1
M744_RS04480,CP006471,870217,870969,-,gene900,protein_coding,M744_04650,SIMPL domain-containing protein,WP_011244086.1
M744_RS04485,CP006471,871474,872151,+,gene901,protein_coding,M744_04655,hypothetical protein,WP_011244087.1
M744_RS04490,CP006471,872138,873109,-,gene902,protein_coding,M744_04660,glutathione synthetase,WP_011244088.1
M744_RS04495,CP006471,873106,873369,-,gene903,protein_coding,M744_04665,glutaredoxin 3,WP_011244089.1
M744_RS04500,CP006471,873534,873824,-,gene904,protein_coding,M744_04675,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,WP_011378405.1
M744_RS04505,CP006471,873836,874357,-,gene905,protein_coding,M744_04680,photosystem I assembly protein Ycf3,WP_011244091.1
M744_RS04510,CP006471,874395,874682,-,gene906,protein_coding,M744_04685,DUF3288 domain-containing protein,WP_011244092.1
M744_RS04515,CP006471,874771,875063,-,gene907,pseudogene,M744_04695,addiction module antidote protein%2C HigA family,0
M744_RS04520,CP006471,875103,875729,-,gene908,protein_coding,M744_04700,hypothetical protein,WP_011244094.1
M744_RS04525,CP006471,875902,878274,+,gene909,protein_coding,M744_04705,copper-transporting ATPase SynA,WP_011378404.1
M744_RS04530,CP006471,878670,879083,-,gene910,protein_coding,M744_04710,ATP synthase epsilon chain,WP_011244096.1
M744_RS04535,CP006471,879154,880608,-,gene911,protein_coding,M744_04715,ATP synthase subunit beta,WP_011244097.1
M744_RS04540,CP006471,880871,881182,+,gene912,protein_coding,M744_04720,co-chaperone GroES,WP_011244098.1
M744_RS04545,CP006471,881230,882864,+,gene913,protein_coding,M744_04725,molecular chaperone GroEL,WP_011244099.1
M744_RS04550,CP006471,882948,884021,-,gene914,protein_coding,M744_04730,undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase,WP_011378403.1
M744_RS04555,CP006471,884064,884876,+,gene915,protein_coding,M744_04735,hypothetical protein,WP_011244101.1
M744_RS04560,CP006471,884945,885018,+,gene916,tRNA,M744_04740,,
M744_RS04565,CP006471,885231,886700,+,gene917,protein_coding,M744_04750,2-diaminobutyrate decarboxylase,WP_011378401.1
M744_RS04570,CP006471,886775,887371,+,gene918,protein_coding,M744_04755,peroxiredoxin,WP_011378400.1
M744_RS04575,CP006471,887495,888613,-,gene919,protein_coding,M744_04760,aminomethyltransferase,WP_011244104.1
M744_RS04580,CP006471,888743,889753,-,gene920,protein_coding,M744_04765,hypothetical protein,WP_011244105.1
M744_RS04585,CP006471,889757,890344,-,gene921,protein_coding,M744_04770,J domain-containing protein,WP_011378399.1
M744_RS04590,CP006471,890477,891163,-,gene922,protein_coding,M744_04775,DNA-binding response regulator,WP_011244106.1
protein_coding,CP006471,891208,892125,-,gene923,ppnK,M744_RS04595,NAD(+) kinase,WP_011244107.1
M744_RS04600,CP006471,892225,893061,-,gene924,protein_coding,M744_04785,dihydropteroate synthase,WP_011378397.1
M744_RS04605,CP006471,893231,893587,+,gene925,protein_coding,M744_04790,hypothetical protein,WP_011244109.1
M744_RS04610,CP006471,893664,893936,-,gene926,protein_coding,M744_04795,hypothetical protein,WP_011378396.1
M744_RS04615,CP006471,894074,894568,-,gene927,protein_coding,M744_04800,DUF3464 domain-containing protein,WP_011244110.1
M744_RS04620,CP006471,894574,894843,-,gene928,protein_coding,M744_04805,30S ribosomal protein S15,WP_011244111.1
M744_RS04625,CP006471,894889,895512,-,gene929,protein_coding,M744_04810,Holliday junction branch migration protein RuvA,WP_011244112.1
M744_RS04630,CP006471,895757,896950,+,gene930,protein_coding,M744_04815,transaldolase,WP_011378395.1
M744_RS04635,CP006471,897102,898406,+,gene931,protein_coding,M744_04820,type III glutamate--ammonia ligase,WP_011378394.1
M744_RS04640,CP006471,898387,899490,-,gene932,protein_coding,M744_04825,hypothetical protein,WP_011378393.1
M744_RS04645,CP006471,899490,900326,-,gene933,protein_coding,M744_04830,hypothetical protein,WP_011378392.1
M744_RS04650,CP006471,900359,900808,-,gene934,protein_coding,M744_04835,hypothetical protein,WP_011244117.1
M744_RS04655,CP006471,900813,903077,-,gene935,protein_coding,M744_04840,hypothetical protein,WP_011378391.1
M744_RS04660,CP006471,903227,904198,+,gene936,protein_coding,M744_04845,KpsF/GutQ family sugar-phosphate isomerase,WP_011244119.1
M744_RS04665,CP006471,904213,904947,+,gene937,protein_coding,M744_04850,3-deoxy-manno-octulosonate cytidylyltransferase,WP_011244120.1
M744_RS04670,CP006471,904929,905783,+,gene938,protein_coding,M744_04855,2-dehydro-3-deoxyphosphooctonate aldolase,WP_011378390.1
M744_RS04675,CP006471,905780,906316,+,gene939,protein_coding,M744_04860,3-deoxy-D-manno-octulosonate cytidylyltransferase,WP_011244122.1
M744_RS04680,CP006471,906358,907332,+,gene940,protein_coding,M744_04865,hypothetical protein,WP_011244123.1
M744_RS04685,CP006471,907419,908504,+,gene941,protein_coding,M744_04870,hypothetical protein,WP_011378389.1
M744_RS04690,CP006471,908630,909709,+,gene942,protein_coding,M744_04875,oxidoreductase,WP_011244125.1
M744_RS04695,CP006471,909706,910617,+,gene943,protein_coding,M744_04880,alpha/beta hydrolase,WP_011378388.1
M744_RS04700,CP006471,910624,911367,-,gene944,protein_coding,M744_04885,DUF554 domain-containing protein,WP_011378387.1
M744_RS04705,CP006471,911463,913376,+,gene945,protein_coding,M744_04890,sensor histidine kinase,WP_011378386.1
M744_RS04710,CP006471,913324,914280,-,gene946,protein_coding,M744_04895,hypothetical protein,WP_011244129.1
M744_RS04715,CP006471,914311,915243,+,gene947,protein_coding,M744_04900,hypothetical protein,WP_011244130.1
M744_RS04720,CP006471,915452,916864,-,gene948,protein_coding,M744_04905,ammonium transporter,WP_011378385.1
M744_RS04725,CP006471,917238,919385,-,gene949,protein_coding,M744_04915,WYL domain-containing protein,WP_011244132.1
M744_RS04730,CP006471,919579,919887,+,gene950,protein_coding,M744_04920,hypothetical protein,WP_011244133.1
M744_RS04735,CP006471,920144,920596,+,gene951,protein_coding,M744_04925,hypothetical protein,WP_011244134.1
M744_RS04740,CP006471,920821,920896,-,gene952,tRNA,M744_04935,,
M744_RS13685,CP006471,921101,921346,+,gene953,pseudogene,M744_04940,hypothetical protein,0
M744_RS04750,CP006471,921482,923515,-,gene954,protein_coding,M744_04945,magnesium-chelatase subunit ChlD,WP_011244135.1
M744_RS04755,CP006471,923558,924325,-,gene955,protein_coding,M744_04950,PD-(D/E)XK nuclease family protein,WP_011244136.1
M744_RS04760,CP006471,924352,924882,+,gene956,protein_coding,M744_04955,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,WP_011244137.1
M744_RS04765,CP006471,924882,925433,+,gene957,protein_coding,M744_04960,NUDIX hydrolase,WP_011244138.1
M744_RS04770,CP006471,925471,926505,+,gene958,protein_coding,M744_04965,peptidase M42,WP_011244139.1
M744_RS04775,CP006471,926534,927271,+,gene959,protein_coding,M744_04970,DUF2232 domain-containing protein,WP_011244140.1
M744_RS04780,CP006471,927261,928406,+,gene960,protein_coding,M744_04975,TIGR00303 family protein,WP_011244141.1
M744_RS04785,CP006471,928375,928632,-,gene961,protein_coding,M744_04980,hypothetical protein,WP_011378383.1
M744_RS04790,CP006471,928760,929824,+,gene962,protein_coding,M744_04985,polyamine ABC transporter substrate-binding protein,WP_011378382.1
M744_RS04795,CP006471,929854,931149,-,gene963,protein_coding,M744_04990,gamma-glutamyl-phosphate reductase,WP_011244143.1
M744_RS04800,CP006471,931549,931824,+,gene964,protein_coding,M744_04995,DNA-binding response regulator,WP_011244144.1
M744_RS04805,CP006471,931937,933244,+,gene965,protein_coding,M744_05000,histidine--tRNA ligase,WP_011378381.1
M744_RS04810,CP006471,933282,934691,+,gene966,protein_coding,M744_05005,hypothetical protein,WP_011378380.1
M744_RS04815,CP006471,934688,935029,+,gene967,protein_coding,M744_05010,divalent-cation tolerance protein CutA,WP_011244147.1
M744_RS04820,CP006471,935234,935599,+,gene968,protein_coding,M744_05020,hypothetical protein,WP_011244148.1
M744_RS04830,CP006471,935630,937465,-,gene969,pseudogene,M744_05030,hypothetical protein,0
M744_RS13690,CP006471,937646,937813,+,gene970,protein_coding,,DUF3252 domain-containing protein,WP_011378378.1
M744_RS04835,CP006471,937863,938417,+,gene971,protein_coding,M744_05040,alpha/beta hydrolase,WP_011244152.1
M744_RS04840,CP006471,938554,938958,-,gene972,protein_coding,M744_05045,hypothetical protein,WP_011244153.1
M744_RS04845,CP006471,939721,941079,+,gene973,protein_coding,M744_05050,DUF3370 domain-containing protein,WP_011378377.1
M744_RS04850,CP006471,941197,942333,+,gene974,protein_coding,M744_05055,putative glutamate--cysteine ligase,WP_039755919.1
M744_RS04855,CP006471,942528,945551,+,gene975,protein_coding,M744_05060,phosphoenolpyruvate carboxylase,WP_039755577.1
M744_RS13695,CP006471,945559,946143,+,gene976,protein_coding,,hypothetical protein,WP_011378374.1
M744_RS04865,CP006471,946097,946169,-,gene977,tRNA,M744_05070,,
M744_RS04870,CP006471,946240,947403,+,gene978,protein_coding,M744_05075,DNA replication and repair protein RecF,WP_011378373.1
M744_RS04875,CP006471,947635,947817,-,gene979,protein_coding,M744_05080,hypothetical protein,WP_039755580.1
M744_RS04880,CP006471,947991,948416,+,gene980,protein_coding,M744_05085,adenosylmethionine decarboxylase,WP_011378372.1
M744_RS04885,CP006471,948751,949026,+,gene981,protein_coding,M744_05090,HU family DNA-binding protein,WP_011244160.1
M744_RS04890,CP006471,949126,949326,-,gene982,protein_coding,M744_05095,hypothetical protein,WP_039755581.1
M744_RS04895,CP006471,949520,952168,-,gene983,protein_coding,M744_05100,DNA mismatch repair protein MutS,WP_011378371.1
M744_RS04900,CP006471,952178,953740,-,gene984,protein_coding,M744_05105,hypothetical protein,WP_011378370.1
protein_coding,CP006471,953947,954135,+,gene985,psbZ,M744_RS04905,photosystem II reaction center protein Z,WP_011244163.1
M744_RS04910,CP006471,954145,954690,+,gene986,protein_coding,M744_05115,6%2C7-dimethyl-8-ribityllumazine synthase,WP_011244164.1
M744_RS04915,CP006471,954752,954823,+,gene987,tRNA,M744_05120,,
M744_RS04920,CP006471,954981,956225,+,gene988,protein_coding,M744_05125,glutamate-5-semialdehyde dehydrogenase,WP_011378369.1
M744_RS13700,CP006471,957060,957932,-,gene989,protein_coding,,DUF4349 domain-containing protein,WP_011244167.1
M744_RS04930,CP006471,957987,958517,-,gene990,protein_coding,M744_05135,GNAT family N-acetyltransferase,WP_011244168.1
M744_RS04935,CP006471,958687,959202,+,gene991,protein_coding,M744_05145,hypothetical protein,WP_011244169.1
M744_RS04940,CP006471,959434,960849,+,gene992,protein_coding,M744_05150,MFS transporter,WP_011378368.1
M744_RS04945,CP006471,960991,961425,+,gene993,protein_coding,M744_05155,hypothetical protein,WP_011244171.1
M744_RS04950,CP006471,961434,963098,+,gene994,protein_coding,M744_05160,ABC transporter ATP-binding protein,WP_011244172.1
M744_RS04955,CP006471,963106,963813,-,gene995,protein_coding,M744_05165,tRNA (guanosine(37)-N1)-methyltransferase TrmD,WP_011244173.1
M744_RS04960,CP006471,963819,964295,-,gene996,protein_coding,M744_05170,NAD(P)H-quinone oxidoreductase subunit N,WP_011244174.1
M744_RS04965,CP006471,964365,964682,+,gene997,protein_coding,M744_05175,hypothetical protein,WP_011378367.1
M744_RS04970,CP006471,964960,965601,+,gene998,protein_coding,M744_05180,50S ribosomal protein L3,WP_011244175.1
M744_RS04975,CP006471,965646,966278,+,gene999,protein_coding,M744_05185,50S ribosomal protein L4,WP_011244176.1
M744_RS04980,CP006471,966271,966573,+,gene1000,protein_coding,M744_05190,50S ribosomal protein L23,WP_011244177.1
M744_RS04985,CP006471,966603,967466,+,gene1001,protein_coding,M744_05195,50S ribosomal protein L2,WP_011378366.1
M744_RS04990,CP006471,967498,967773,+,gene1002,protein_coding,M744_05200,30S ribosomal protein S19,WP_011244179.1
M744_RS04995,CP006471,967792,968145,+,gene1003,protein_coding,M744_05205,50S ribosomal protein L22,WP_011244180.1
M744_RS05000,CP006471,968170,968904,+,gene1004,protein_coding,M744_05210,30S ribosomal protein S3,WP_011244181.1
M744_RS05005,CP006471,968913,969341,+,gene1005,protein_coding,M744_05215,50S ribosomal protein L16,WP_011244182.1
M744_RS05010,CP006471,969344,969538,+,gene1006,protein_coding,M744_05220,50S ribosomal protein L29,WP_011244183.1
M744_RS05015,CP006471,969573,969821,+,gene1007,protein_coding,M744_05225,30S ribosomal protein S17,WP_011244184.1
M744_RS05020,CP006471,969833,970198,+,gene1008,protein_coding,M744_05230,50S ribosomal protein L14,WP_011244185.1
M744_RS05025,CP006471,970198,970539,+,gene1009,protein_coding,M744_05235,50S ribosomal protein L24,WP_011244186.1
M744_RS05030,CP006471,970582,971121,+,gene1010,protein_coding,M744_05240,50S ribosomal protein L5,WP_011244187.1
M744_RS05035,CP006471,971149,971550,+,gene1011,protein_coding,M744_05245,30S ribosomal protein S8,WP_011244188.1
M744_RS05040,CP006471,971587,972126,+,gene1012,protein_coding,M744_05250,50S ribosomal protein L6,WP_011244189.1
M744_RS05045,CP006471,972126,972488,+,gene1013,protein_coding,M744_05255,50S ribosomal protein L18,WP_011244190.1
M744_RS05050,CP006471,972492,973034,+,gene1014,protein_coding,M744_05260,30S ribosomal protein S5,WP_011244191.1
M744_RS05055,CP006471,973072,973515,+,gene1015,protein_coding,M744_05265,50S ribosomal protein L15,WP_011244192.1
M744_RS05060,CP006471,973637,974956,+,gene1016,protein_coding,M744_05270,protein translocase subunit SecY,WP_011244193.1
M744_RS05065,CP006471,974956,975516,+,gene1017,protein_coding,M744_05275,adenylate kinase,WP_011244194.1
M744_RS13705,CP006471,975590,975703,+,gene1018,protein_coding,,50S ribosomal protein L36,WP_011244195.1
M744_RS05070,CP006471,975858,976235,+,gene1019,protein_coding,M744_05285,30S ribosomal protein S13,WP_011244196.1
M744_RS05075,CP006471,976305,976697,+,gene1020,protein_coding,M744_05290,30S ribosomal protein S11,WP_011244197.1
M744_RS05080,CP006471,976743,977672,+,gene1021,protein_coding,M744_05295,DNA-directed RNA polymerase subunit alpha,WP_011244198.1
M744_RS05085,CP006471,977708,978058,+,gene1022,protein_coding,M744_05300,50S ribosomal protein L17,WP_011244199.1
M744_RS05090,CP006471,978061,978945,+,gene1023,protein_coding,M744_05305,tRNA pseudouridine(38-40) synthase TruA,WP_011378365.1
M744_RS05095,CP006471,978961,979416,+,gene1024,protein_coding,M744_05310,50S ribosomal protein L13,WP_011244201.1
M744_RS05100,CP006471,979416,979823,+,gene1025,protein_coding,M744_05315,30S ribosomal protein S9,WP_011244202.1
M744_RS05105,CP006471,979854,980087,+,gene1026,protein_coding,M744_05320,50S ribosomal protein L31,WP_011244203.1
M744_RS05110,CP006471,980189,981295,+,gene1027,protein_coding,M744_05325,peptide chain release factor 1,WP_011244204.1
M744_RS05115,CP006471,981309,981806,-,gene1028,protein_coding,M744_05330,HNH endonuclease,WP_011244205.1
M744_RS05120,CP006471,981931,983151,+,gene1029,protein_coding,M744_05335,alanine racemase,WP_011378364.1
M744_RS05125,CP006471,983190,983278,+,gene1030,tRNA,M744_05340,,
